GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Author Book Management System,com.example.library.util,CsvUtil,43,384,9,17,11,68,10,9,1,5
Author Book Management System,com.example.library,AuthorBookManagementApplication,5,3,0,0,2,1,1,1,1,1
Author Book Management System,com.example.library.dto,BookDTO,418,143,102,0,0,16,58,24,7,24
Author Book Management System,com.example.library.dto,AuthorDTO.AuthorDTOBuilder,28,65,0,0,0,1,2,10,2,10
Author Book Management System,com.example.library.dto,AuthorDTO,321,111,78,0,0,13,45,19,6,19
Author Book Management System,com.example.library.dto,BulkResponseDTO.BulkResponseDTOBuilder,85,0,4,0,1,0,11,0,9,0
Author Book Management System,com.example.library.dto,BulkResponseDTO,265,0,36,0,10,0,39,0,21,0
Author Book Management System,com.example.library.dto,BookDTO.BookDTOBuilder,29,91,0,0,0,1,1,14,1,14
Author Book Management System,com.example.library.controller,HomeController,2,3,0,0,1,1,1,1,1,1
Author Book Management System,com.example.library.controller,BookController,38,69,0,0,9,17,3,7,3,7
Author Book Management System,com.example.library.controller,BulkOperationController,74,10,0,0,22,2,4,2,4,2
Author Book Management System,com.example.library.controller,AuthorController,12,69,0,0,3,17,1,7,1,7
Author Book Management System,com.example.library.service,AuthorService,66,280,2,6,16,75,5,16,3,14
Author Book Management System,com.example.library.service,BookService,88,325,4,4,18,83,8,15,5,14
Author Book Management System,com.example.library.service,BulkOperationService,230,19,4,0,58,2,6,2,4,2
Author Book Management System,com.example.library.security,SecurityConfig,0,172,0,0,0,21,0,6,0,6
Author Book Management System,com.example.library.security,UserDetailsServiceImpl,61,10,0,0,14,2,4,2,4,2
Author Book Management System,com.example.library.entity,User.UserBuilder,75,0,4,0,1,0,10,0,8,0
Author Book Management System,com.example.library.entity,User,255,16,46,0,7,3,39,3,16,3
Author Book Management System,com.example.library.entity,Book.BookBuilder,40,82,1,1,0,1,4,11,3,11
Author Book Management System,com.example.library.entity,Author,97,91,14,0,2,13,15,18,8,18
Author Book Management System,com.example.library.entity,Author.AuthorBuilder,41,62,1,1,0,1,5,8,4,8
Author Book Management System,com.example.library.entity,Book,98,114,14,0,2,15,14,23,7,23
Author Book Management System,com.example.library.config,DataInitializer,51,17,1,1,17,6,1,4,0,4
Author Book Management System,com.example.library.config,OpenApiConfig,0,46,0,0,0,16,0,2,0,2
Author Book Management System,com.example.library.exception,DuplicateResourceException,0,4,0,0,0,2,0,1,0,1
Author Book Management System,com.example.library.exception,GlobalExceptionHandler,57,121,0,0,18,36,2,6,2,6
Author Book Management System,com.example.library.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
Author Book Management System,com.example.library.exception,ErrorResponse.ErrorResponseBuilder,16,49,0,0,0,1,1,8,1,8
Author Book Management System,com.example.library.exception,ErrorResponse,226,59,48,0,1,9,34,9,10,9
